Codigo;Empresa;Classes;Codigo_Yahoo
MMMC34;3M;DRN;MMMC34.SA
RRRP3;3R PETROLEUM;ON   NM;RRRP3.SA
TTEN3;3TENTOS;ON   NM;TTEN3.SA
ABBV34;ABBVIE;DRN;ABBV34.SA
ABCB4;ABC BRASIL;PN   N2;ABCB4.SA
ATVI34;ACTIVISION;DRN;ATVI34.SA
ADBE34;ADOBE INC;DRN;ADBE34.SA
A1MD34;ADVANCED MIC;DRN;A1MD34.SA
AERI3;AERIS;ON   NM;AERI3.SA
AESB3;AES BRASIL;ON   NM;AESB3.SA
AGXY3;AGROGALAXY;ON   NM;AGXY3.SA
AIRB34;AIRBNB;DRN;AIRB34.SA
ALSO3;ALIANSCSONAE;ON   NM;ALSO3.SA
BABA34;ALIBABAGR;DRN;BABA34.SA
AALR3;ALLIAR;ON   NM;AALR3.SA
ALLD3;ALLIED;ON   NM;ALLD3.SA
ALPA3;ALPARGATAS;ON   N1;ALPA3.SA
ALPA4;ALPARGATAS;PN   N1;ALPA4.SA
APER3;ALPER S.A.;ON   NM;APER3.SA
GOGL34;ALPHABET;DRN;GOGL34.SA
GOGL35;ALPHABET;DRN;GOGL35.SA
AVLL3;ALPHAVILLE;ON   NM;AVLL3.SA
ALUP11;ALUPAR;UNT  N2;ALUP11.SA
AMZO34;AMAZON;DRN;AMZO34.SA
ABEV3;AMBEV S/A;ON;ABEV3.SA
AMBP3;AMBIPAR;ON   NM;AMBP3.SA
A2MC34;AMC ENTERT H;DRN;A2MC34.SA
AALL34;AMERICAN AIR;DRN;AALL34.SA
AXPB34;AMERICAN EXP;DRN;AXPB34.SA
AMER3;AMERICANAS;ON   NM;AMER3.SA
A1UA34;ANGLOGOLD AS;DRN;A1UA34.SA
ANIM3;ANIMA;ON   NM;ANIM3.SA
AAPL34;APPLE;DRN;AAPL34.SA
ARMT34;ARCELOR;DRN;ARMT34.SA
ARZZ3;AREZZO CO;ON   NM;ARZZ3.SA
ARML3;ARMAC;ON   NM;ARML3.SA
ASAI3;ASSAI;ON   NM;ASAI3.SA
A1ZN34;ASTRAZENECA;DRN;A1ZN34.SA
ATTB34;ATT INC;DRN;ATTB34.SA
AURE3;AUREN;ON   NM;AURE3.SA
AZUL4;AZUL;PN   N2;AZUL4.SA
B3SA3;B3;ON   NM;B3SA3.SA
BAHI3;BAHEMA;ON   MA;BAHI3.SA
BIDU34;BAIDU INC;DRN;BIDU34.SA
BMGB4;BANCO BMG;PN   N1;BMGB4.SA
BPAN4;BANCO PAN;PN   N1;BPAN4.SA
B1SA34;BANCO SANTAN;DRN;B1SA34.SA
BGIP4;BANESE;PN;BGIP4.SA
BOAC34;BANK AMERICA;DRN;BOAC34.SA
BRSR3;BANRISUL;ON   N1;BRSR3.SA
BRSR6;BANRISUL;PNB  N1;BRSR6.SA
BBSE3;BBSEGURIDADE;ON   NM;BBSE3.SA
BMOB3;BEMOBI TECH;ON   NM;BMOB3.SA
BERK34;BERKSHIRE;DRN;BERK34.SA
B2YN34;BEYOND MEAT;DRN;B2YN34.SA
B1IL34;BILIBILI INC;DRN;B1IL34.SA
BIOM3;BIOMM;ON   MA;BIOM3.SA
B1NT34;BIONTECH SE;DRN;B1NT34.SA
BLAK34;BLACKROCK;DRN;BLAK34.SA
BLAU3;BLAU;ON   NM;BLAU3.SA
S2QU34;BLOCK INC.;DRN;S2QU34.SA
BONY34;BNY MELLON;DRN;BONY34.SA
SOJA3;BOA SAFRA;ON   NM;SOJA3.SA
BOAS3;BOA VISTA;ON   NM;BOAS3.SA
BOEI34;BOEING;DRN;BOEI34.SA
BKNG34;BOOKING;DRN;BKNG34.SA
B1PP34;BP PLC;DRN;B1PP34.SA
BRML3;BR MALLS PAR;ON   NM;BRML3.SA
BRBI11;BR PARTNERS;UNT  N2;BRBI11.SA
BRPR3;BR PROPERT;ON   NM;BRPR3.SA
BBDC3;BRADESCO;ON   N1;BBDC3.SA
BBDC4;BRADESCO;PN   N1;BBDC4.SA
BRAP3;BRADESPAR;ON   N1;BRAP3.SA
BRAP4;BRADESPAR;PN   N1;BRAP4.SA
BBAS3;BRASIL;ON   NM;BBAS3.SA
AGRO3;BRASILAGRO;ON   NM;AGRO3.SA
BRKM3;BRASKEM;ON   N1;BRKM3.SA
BRKM5;BRASKEM;PNA  N1;BRKM5.SA
BRFS3;BRF SA;ON   NM;BRFS3.SA
BRIT3;BRISANET;ON   NM;BRIT3.SA
B1TI34;BRITISH AMER;DRN;B1TI34.SA
AVGO34;BROADCOM INC;DRN;AVGO34.SA
BPAC11;BTGP BANCO;UNT  N2;BPAC11.SA
CXSE3;CAIXA SEGURI;ON   NM;CXSE3.SA
CAML3;CAMIL;ON   NM;CAML3.SA
C1CL34;CARNIVAL COR;DRN;C1CL34.SA
CRFB3;CARREFOUR BR;ON   NM;CRFB3.SA
CACR11;CARTESIA FII;CI;CACR11.SA
CATP34;CATERPILLAR;DRN;CATP34.SA
CBAV3;CBA;ON   NM;CBAV3.SA
CCRO3;CCR SA;ON   NM;CCRO3.SA
CEAB3;CEA MODAS;ON   NM;CEAB3.SA
CEDO3;CEDRO;ON   N1;CEDO3.SA
CEDO4;CEDRO;PN   N1;CEDO4.SA
CLSC3;CELESC;ON   N2;CLSC3.SA
CLSC4;CELESC;PN   N2;CLSC4.SA
CMIG3;CEMIG;ON   N1;CMIG3.SA
CMIG4;CEMIG;PN   N1;CMIG4.SA
CHCM34;CHARTER COMM;DRN;CHCM34.SA
CHVX34;CHEVRON;DRN;CHVX34.SA
CIEL3;CIELO;ON   NM;CIEL3.SA
CSCO34;CISCO;DRN;CSCO34.SA
CTGP34;CITIGROUP;DRN;CTGP34.SA
CLSA3;CLEARSALE;ON   NM;CLSA3.SA
COCA34;COCA COLA;DRN;COCA34.SA
COCE5;COELCE;PNA;COCE5.SA
COGN3;COGNA ON;ON   NM;COGN3.SA
C2OI34;COINBASEGLOB;DRN;C2OI34.SA
COLG34;COLGATE;DRN;COLG34.SA
CMCS34;COMCAST;DRN;CMCS34.SA
CSMG3;COPASA;ON   NM;CSMG3.SA
CPLE3;COPEL;ON   N2;CPLE3.SA
CPLE6;COPEL;PNB  N2;CPLE6.SA
COPH34;COPHILLIPS;DRN;COPH34.SA
CSAN3;COSAN;ON   NM;CSAN3.SA
COWC34;COSTCO;DRN;COWC34.SA
CTNM4;COTEMINAS;PN;CTNM4.SA
CPFE3;CPFL ENERGIA;ON   NM;CPFE3.SA
C1SU34;CREDIT SUISS;DRN;C1SU34.SA
CSED3;CRUZEIRO EDU;ON   NM;CSED3.SA
CMIN3;CSNMINERACAO;ON   N2;CMIN3.SA
CSUD3;CSU DIGITAL;ON   NM;CSUD3.SA
CURY3;CURY S/A;ON   NM;CURY3.SA
CVCB3;CVC BRASIL;ON   NM;CVCB3.SA
CYRE3;CYRELA REALT;ON   NM;CYRE3.SA
DMVF3;D1000VFARMA;ON   NM;DMVF3.SA
DASA3;DASA;ON   NM;DASA3.SA
DESK3;DESKTOP;ON   NM;DESK3.SA
D1VN34;DEVON ENERGY;DRN;D1VN34.SA
DXCO3;DEXCO;ON   NM;DXCO3.SA
DEXP3;DEXXOS PAR;ON   N1;DEXP3.SA
DEXP4;DEXXOS PAR;PN   N1;DEXP4.SA
PNVL3;DIMED;ON   NM;PNVL3.SA
DIRR3;DIRECIONAL;ON   NM;DIRR3.SA
D1OC34;DOCUSIGN INC;DRN;D1OC34.SA
DMMO3;DOMMO;ON;DMMO3.SA
DOTZ3;DOTZ SA;ON   NM;DOTZ3.SA
ECOR3;ECORODOVIAS;ON   NM;ECOR3.SA
EAIN34;ELECTR ARTS;DRN;EAIN34.SA
ELET3;ELETROBRAS;ON   N1;ELET3.SA
ELET6;ELETROBRAS;PNB  N1;ELET6.SA
ELMD3;ELETROMIDIA;ON   NM;ELMD3.SA
EMBR3;EMBRAER;ON   NM;EMBR3.SA
ENAT3;ENAUTA PART;ON   NM;ENAT3.SA
ENBR3;ENERGIAS BR;ON   NM;ENBR3.SA
ENGI11;ENERGISA;UNT  N2;ENGI11.SA
ENEV3;ENEVA;ON   NM;ENEV3.SA
EGIE3;ENGIE BRASIL;ON   NM;EGIE3.SA
ENJU3;ENJOEI;ON   NM;ENJU3.SA
EQTL3;EQUATORIAL;ON   NM;EQTL3.SA
EQIX34;EQUINIX INC;DRN;EQIX34.SA
ESPA3;ESPACOLASER;ON   NM;ESPA3.SA
ALPK3;ESTAPAR;ON   NM;ALPK3.SA
EUCA3;EUCATEX;ON   N1;EUCA3.SA
EUCA4;EUCATEX;PN   N1;EUCA4.SA
EVEN3;EVEN;ON   NM;EVEN3.SA
EXXO34;EXXON MOBIL;DRN;EXXO34.SA
EZTC3;EZTEC;ON   NM;EZTC3.SA
FHER3;FER HERINGER;ON   NM;FHER3.SA
FESA3;FERBASA;ON   N1;FESA3.SA
FESA4;FERBASA;PN   N1;FESA4.SA
BPFF11;FII ABSOLUTO;CI;BPFF11.SA
AFHI11;FII AFHI CRI;CI;AFHI11.SA
ALZR11;FII ALIANZA;CI;ALZR11.SA
ARCT11;FII ARCTIUM;CI;ARCT11.SA
ARRI11;FII ATRIO;CI;ARRI11.SA
AIEC11;FII AUTONOMY;CI;AIEC11.SA
BARI11;FII BARIGUI;CI;BARI11.SA
BBPO11;FII BB PRGII;CI;BBPO11.SA
BCFF11;FII BC FFII;CI;BCFF11.SA
BRCR11;FII BC FUND;CI;BRCR11.SA
BCIA11;FII BCIA;CI;BCIA11.SA
BCRI11;FII BEES CRI;CI;BCRI11.SA
BLMR11;FII BLUE FOF;CI;BLMR11.SA
BLMG11;FII BLUE LOG;CI;BLMG11.SA
BRCO11;FII BRESCO;CI;BRCO11.SA
BTAL11;FII BTG AGRO;CI;BTAL11.SA
BTCR11;FII BTG CRI;CI;BTCR11.SA
BTRA11;FII BTG TAGR;CI;BTRA11.SA
BTLG11;FII BTLG;CI;BTLG11.SA
CPFF11;FII CAP REIT;CI;CPFF11.SA
CPTS11;FII CAPI SEC;CI;CPTS11.SA
HGCR11;FII CSHG CRI;CI;HGCR11.SA
HGFF11;FII CSHG FOF;CI;HGFF11.SA
HGLG11;FII CSHG LOG;CI;HGLG11.SA
HGRU11;FII CSHG URB;CI;HGRU11.SA
CARE11;FII DEA CARE;CI;CARE11.SA
DEVA11;FII DEVANT;CI;DEVA11.SA
VRTA11;FII FATOR VE;CI;VRTA11.SA
GTWR11;FII G TOWERS;CI;GTWR11.SA
GGRC11;FII GGRCOVEP;CI;GGRC11.SA
GALG11;FII GUARDIAN;CI;GALG11.SA
HABT11;FII HABIT II;CI;HABT11.SA
HCTR11;FII HECTARE;CI;HCTR11.SA
HGBS11;FII HEDGEBS;CI;HGBS11.SA
HGRE11;FII HG REAL;CI;HGRE11.SA
HSAF11;FII HSI CRI;CI;HSAF11.SA
HSLG11;FII HSI LOG;CI;HSLG11.SA
HSML11;FII HSI MALL;CI;HSML11.SA
HFOF11;FII HTOPFOF3;CI;HFOF11.SA
FIIB11;FII INDL BR;CI;FIIB11.SA
IRDM11;FII IRIDIUM;CI;IRDM11.SA
JSRE11;FII JS REAL;CI;JSRE11.SA
KISU11;FII KILIMA;CI;KISU11.SA
KNRI11;FII KINEA;CI;KNRI11.SA
KNHY11;FII KINEA HY;CI;KNHY11.SA
KNIP11;FII KINEA IP;CI;KNIP11.SA
KNCR11;FII KINEA RI;CI;KNCR11.SA
KNSC11;FII KINEA SC;CI;KNSC11.SA
KFOF11;FII KINEAFOF;CI;KFOF11.SA
NSLU11;FII LOURDES;CI;NSLU11.SA
MALL11;FII MALLS BP;CI;MALL11.SA
MCCI11;FII MAUA;CI;MCCI11.SA
MCHF11;FII MAUA HF;CI;MCHF11.SA
MXRF11;FII MAXI REN;CI;MXRF11.SA
MFII11;FII MERITO I;CI;MFII11.SA
MGFF11;FII MOGNO;CI;MGFF11.SA
MORE11;FII MORE RE;CI;MORE11.SA
NCHB11;FII NCH BR;CI;NCHB11.SA
OUJP11;FII OURI JPP;CI;OUJP11.SA
PATL11;FII PATR LOG;CI;PATL11.SA
PLCR11;FII PLURAL R;CI;PLCR11.SA
PORD11;FII POLO CRI;CI;PORD11.SA
QAGR11;FII QUASAR A;CI;QAGR11.SA
RBRL11;FII RBR LOG;CI;RBRL11.SA
RBRY11;FII RBR PCRI;CI;RBRY11.SA
RBRP11;FII RBR PROP;CI;RBRP11.SA
RBRF11;FII RBRALPHA;CI;RBRF11.SA
RBRR11;FII RBRHGRAD;CI;RBRR11.SA
RECR11;FII REC RECE;CI;RECR11.SA
RECT11;FII REC REND;CI;RECT11.SA
RBFF11;FII RIOB FF;CI;RBFF11.SA
RCRB11;FII RIOB RC;CI;RCRB11.SA
RBVA11;FII RIOB VA;CI;RBVA11.SA
RZAK11;FII RIZA AKN;CI;RZAK11.SA
RZTR11;FII RIZA TX;CI;RZTR11.SA
SADI11;FII SANT PAP;CI;SADI11.SA
SARE11;FII SANT REN;CI;SARE11.SA
SDIL11;FII SDI LOG;CI;SDIL11.SA
SPTW11;FII SP DOWNT;CI;SPTW11.SA
SNCI11;FII SUNO CRI;CI;SNCI11.SA
SNFF11;FII SUNOFOFI;CI;SNFF11.SA
TGAR11;FII TG ATIVO;CI;TGAR11.SA
TORD11;FII TORDE EI;CI;TORD11.SA
TRXF11;FII TRX REAL;CI;TRXF11.SA
URPR11;FII URCA REN;CI;URPR11.SA
VGHF11;FII VALOR HE;CI;VGHF11.SA
VGIP11;FII VALORAIP;CI;VGIP11.SA
VGIR11;FII VALREIII;CI;VGIR11.SA
CVBI11;FII VBI CRI;CI;CVBI11.SA
LVBI11;FII VBI LOG;CI;LVBI11.SA
PVBI11;FII VBI PRI;CI;PVBI11.SA
RVBI11;FII VBI REIT;CI;RVBI11.SA
VCJR11;FII VECTIS;CI;VCJR11.SA
VSLH11;FII VERS CRI;CI;VSLH11.SA
VIFI11;FII VINCI IF;CI;VIFI11.SA
VIUR11;FII VINCI IU;CI;VIUR11.SA
VILG11;FII VINCI LG;CI;VILG11.SA
VINO11;FII VINCI OF;CI;VINO11.SA
