Codigo;Empresa;Classes;Codigo_Yahoo
VISC11;FII VINCI SC;CI;VISC11.SA
VTLT11;FII VOT LOG;CI;VTLT11.SA
XPCI11;FII XP CRED;CI;XPCI11.SA
XPIN11;FII XP INDL;CI;XPIN11.SA
XPLG11;FII XP LOG;CI;XPLG11.SA
XPML11;FII XP MALLS;CI;XPML11.SA
XPPR11;FII XP PROP;CI;XPPR11.SA
XPSF11;FII XP SELEC;CI;XPSF11.SA
FLRY3;FLEURY;ON   NM;FLRY3.SA
FDMO34;FORD MOTORS;DRN;FDMO34.SA
FRAS3;FRAS-LE;ON   N1;FRAS3.SA
FCXO34;FREEPORT;DRN;FCXO34.SA
GFSA3;GAFISA;ON   NM;GFSA3.SA
GEOO34;GE;DRN;GEOO34.SA
GMCO34;GENERAL MOT;DRN;GMCO34.SA
GSHP3;GENERALSHOPP;ON;GSHP3.SA
GEPA4;GER PARANAP;PN;GEPA4.SA
GGBR3;GERDAU;ON   N1;GGBR3.SA
GGBR4;GERDAU;PN   N1;GGBR4.SA
GOAU3;GERDAU MET;ON   N1;GOAU3.SA
GOAU4;GERDAU MET;PN   N1;GOAU4.SA
GETT11;GETNET BR;UNT;GETT11.SA
NINJ3;GETNINJAS;ON   NM;NINJ3.SA
GOLL4;GOL;PN   N2;GOLL4.SA
GSGI34;GOLDMANSACHS;DRN;GSGI34.SA
GGPS3;GPS;ON   NM;GGPS3.SA
CGRA3;GRAZZIOTIN;ON;CGRA3.SA
CGRA4;GRAZZIOTIN;PN;CGRA4.SA
GRND3;GRENDENE;ON   NM;GRND3.SA
GMAT3;GRUPO MATEUS;ON   NM;GMAT3.SA
NTCO3;GRUPO NATURA;ON   NM;NTCO3.SA
SBFG3;GRUPO SBF;ON   NM;SBFG3.SA
SOMA3;GRUPO SOMA;ON   NM;SOMA3.SA
GUAR3;GUARARAPES;ON   NM;GUAR3.SA
HAPV3;HAPVIDA;ON   NM;HAPV3.SA
HBRE3;HBR REALTY;ON   NM;HBRE3.SA
HBOR3;HELBOR;ON   NM;HBOR3.SA
HBSA3;HIDROVIAS;ON   NM;HBSA3.SA
HOME34;HOME DEPOT;DRN;HOME34.SA
HYPE3;HYPERA;ON   NM;HYPE3.SA
IGTI11;IGUATEMI S.A;UNT  N1;IGTI11.SA
PARD3;IHPARDINI;ON   NM;PARD3.SA
MEAL3;IMC S/A;ON   NM;MEAL3.SA
IFCM3;INFRACOMM;ON   NM;IFCM3.SA
ITLC34;INTEL;DRN;ITLC34.SA
INTB3;INTELBRAS;ON   NM;INTB3.SA
I1SR34;INTUITIVE SU;DRN;I1SR34.SA
MYPK3;IOCHP-MAXION;ON   NM;MYPK3.SA
RANI3;IRANI;ON   NM;RANI3.SA
IRBR3;IRBBRASIL RE;ON   NM;IRBR3.SA
ITSA3;ITAUSA;ON   N1;ITSA3.SA
ITSA4;ITAUSA;PN   N1;ITSA4.SA
ITUB3;ITAUUNIBANCO;ON   N1;ITUB3.SA
ITUB4;ITAUUNIBANCO;PN   N1;ITUB4.SA
JALL3;JALLESMACHAD;ON   NM;JALL3.SA
JBSS3;JBS;ON   NM;JBSS3.SA
JDCO34;JD COM;DRN;JDCO34.SA
JHSF3;JHSF PART;ON   NM;JHSF3.SA
JNJB34;JOHNSON;DRN;JNJB34.SA
JPMC34;JPMORGAN;DRN;JPMC34.SA
JSLG3;JSL;ON   NM;JSLG3.SA
KEPL3;KEPLER WEBER;ON;KEPL3.SA
KLBN11;KLABIN S/A;UNT  N2;KLBN11.SA
KRSA3;KORA SAUDE;ON   NM;KRSA3.SA
KHCB34;KRAFT HEINZ;DRN;KHCB34.SA
LAVV3;LAVVI;ON   NM;LAVV3.SA
LIGT3;LIGHT S/A;ON   NM;LIGT3.SA
L1YG34;LLOYDS BANKI;DRN;L1YG34.SA
RENT3;LOCALIZA;ON   NM;RENT3.SA
LWSA3;LOCAWEB;ON   NM;LWSA3.SA
LOGG3;LOG COM PROP;ON   NM;LOGG3.SA
LOGN3;LOG-IN;ON   NM;LOGN3.SA
AMAR3;LOJAS MARISA;ON   NM;AMAR3.SA
LREN3;LOJAS RENNER;ON   NM;LREN3.SA
LPSB3;LOPES BRASIL;ON   NM;LPSB3.SA
MDIA3;M.DIASBRANCO;ON   NM;MDIA3.SA
MACY34;MACY S;DRN;MACY34.SA
MGLU3;MAGAZ LUIZA;ON   NM;MGLU3.SA
POMO3;MARCOPOLO;ON   N2;POMO3.SA
POMO4;MARCOPOLO;PN   N2;POMO4.SA
MRFG3;MARFRIG;ON   NM;MRFG3.SA
MSCD34;MASTERCARD;DRN;MSCD34.SA
MATD3;MATER DEI;ON   NM;MATD3.SA
MCDC34;MCDONALDS;DRN;MCDC34.SA
CASH3;MELIUZ;ON   NM;CASH3.SA
MELK3;MELNICK;ON   NM;MELK3.SA
BMEB4;MERC BRASIL;PN   N1;BMEB4.SA
MELI34;MERCADOLIBRE;DRN;MELI34.SA
MRCK34;MERCK;DRN;MRCK34.SA
M1TA34;META PLAT;DRN;M1TA34.SA
LEVE3;METAL LEVE;ON   NM;LEVE3.SA
MUTC34;MICRON TECHN;DRN;MUTC34.SA
MSFT34;MICROSOFT;DRN;MSFT34.SA
MILS3;MILLS;ON   NM;MILS3.SA
BEEF3;MINERVA;ON   NM;BEEF3.SA
MTRE3;MITRE REALTY;ON   NM;MTRE3.SA
MBLY3;MOBLY;ON   NM;MBLY3.SA
MODL3;MODALMAIS;ON   NM;MODL3.SA
M1RN34;MODERNA INC;DRN;M1RN34.SA
M1NS34;MONSTER BEVE;DRN;M1NS34.SA
MSBR34;MORGAN STAN;DRN;MSBR34.SA
MOSC34;MOSAIC CO;DRN;MOSC34.SA
MDNE3;MOURA DUBEUX;ON   NM;MDNE3.SA
MOVI3;MOVIDA;ON   NM;MOVI3.SA
MRVE3;MRV;ON   NM;MRVE3.SA
MLAS3;MULTILASER;ON   NM;MLAS3.SA
MULT3;MULTIPLAN;ON   N2;MULT3.SA
N1DA34;NASDAQ INC;DRN;N1DA34.SA
NEOE3;NEOENERGIA;ON   NM;NEOE3.SA
NGRD3;NEOGRID;ON   NM;NGRD3.SA
NFLX34;NETFLIX;DRN;NFLX34.SA
E1DU34;NEW ORIENTAL;DRN;E1DU34.SA
N1EM34;NEWMONT GOLD;DRN;N1EM34.SA
NEXT34;NEXTERA ENER;DRN;NEXT34.SA
NIKE34;NIKE;DRN;NIKE34.SA
N1VO34;NOVO NORDISK;DRN;N1VO34.SA
NVDC34;NVIDIA CORP;DRN;NVDC34.SA
OXYP34;OCCIDENT PTR;DRN;OXYP34.SA
OPCT3;OCEANPACT;ON   NM;OPCT3.SA
ODPV3;ODONTOPREV;ON   NM;ODPV3.SA
MEGA3;OMEGAENERGIA;ON   NM;MEGA3.SA
ONCO3;ONCOCLINICAS;ON   NM;ONCO3.SA
ORCL34;ORACLE;DRN;ORCL34.SA
ORVR3;ORIZON;ON   NM;ORVR3.SA
OSXB3;OSX BRASIL;ON   NM;OSXB3.SA
OFSA3;OUROFINO S/A;ON   NM;OFSA3.SA
PCAR3;P.ACUCAR-CBD;ON   NM;PCAR3.SA
PDTC3;PADTEC;ON   NM;PDTC3.SA
PAGS34;PAGSEGURO;DRN;PAGS34.SA
PGMN3;PAGUE MENOS;ON   NM;PGMN3.SA
PMAM3;PARANAPANEMA;ON   NM;PMAM3.SA
PYPL34;PAYPAL HOLD;DRN;PYPL34.SA
PDGR3;PDG REALT;ON   NM;PDGR3.SA
PEPB34;PEPSICO INC;DRN;PEPB34.SA
PETR3;PETROBRAS;ON   N2;PETR3.SA
PETR4;PETROBRAS;PN   N2;PETR4.SA
RECV3;PETRORECSA;ON   NM;RECV3.SA
PRIO3;PETRORIO;ON   NM;PRIO3.SA
PTNT4;PETTENATI;PN;PTNT4.SA
PETZ3;PETZ;ON   NM;PETZ3.SA
PFIZ34;PFIZER;DRN;PFIZ34.SA
PGCO34;PG;DRN;PGCO34.SA
P1DD34;PINDUODUO IN;DRN;P1DD34.SA
PINE4;PINE;PN   N2;PINE4.SA
PLPL3;PLANOEPLANO;ON   NM;PLPL3.SA
PSSA3;PORTO SEGURO;ON   NM;PSSA3.SA
PTBL3;PORTOBELLO;ON   NM;PTBL3.SA
POSI3;POSITIVO TEC;ON   NM;POSI3.SA
PRNR3;PRINER;ON   NM;PRNR3.SA
PFRM3;PROFARMA;ON   NM;PFRM3.SA
P1LD34;PROLOGIS INC;DRN;P1LD34.SA
QCOM34;QUALCOMM;DRN;QCOM34.SA
QUAL3;QUALICORP;ON   NM;QUAL3.SA
LJQQ3;QUERO-QUERO;ON   NM;LJQQ3.SA
RADL3;RAIADROGASIL;ON   NM;RADL3.SA
RAIZ4;RAIZEN;PN   N2;RAIZ4.SA
RAPT3;RANDON PART;ON   N1;RAPT3.SA
RAPT4;RANDON PART;PN   N1;RAPT4.SA
RYTT34;RAYTHEONTECH;DRN;RYTT34.SA
RCSL3;RECRUSUL;ON;RCSL3.SA
RDOR3;REDE D OR;ON   NM;RDOR3.SA
RIOT34;RIO TINTO;DRN;RIOT34.SA
RDNI3;RNI;ON   NM;RDNI3.SA
R2BL34;ROBLOX CORP;DRN;R2BL34.SA
R1KU34;ROKU INC;DRN;R1KU34.SA
ROMI3;ROMI;ON   NM;ROMI3.SA
RAIL3;RUMO S.A.;ON   NM;RAIL3.SA
SBSP3;SABESP;ON   NM;SBSP3.SA
SSFO34;SALESFOR INC;DRN;SSFO34.SA
SAPR11;SANEPAR;UNT  N2;SAPR11.SA
BCSA34;SANTANDER;DRN;BCSA34.SA
SANB11;SANTANDER BR;UNT;SANB11.SA
STBP3;SANTOS BRP;ON   NM;STBP3.SA
SCAR3;SAO CARLOS;ON   NM;SCAR3.SA
SMTO3;SAO MARTINHO;ON   NM;SMTO3.SA
SCHW34;SCHWAB;DRN;SCHW34.SA
S2EA34;SEA LTD;DRN;S2EA34.SA
SEQL3;SEQUOIA LOG;ON   NM;SEQL3.SA
SEER3;SER EDUCA;ON   NM;SEER3.SA
S2HO34;SHOPIFY INC;DRN;S2HO34.SA
S1BS34;SIBANYE STIL;DRN;S1BS34.SA
CSNA3;SID NACIONAL;ON;CSNA3.SA
SIMN34;SIMON PROP;DRN;SIMN34.SA
SIMH3;SIMPAR;ON   NM;SIMH3.SA
SQIA3;SINQIA;ON   NM;SQIA3.SA
SLCE3;SLC AGRICOLA;ON   NM;SLCE3.SA
SMFT3;SMART FIT;ON   NM;SMFT3.SA
SNEC34;SONY GROUP;DRN;SNEC34.SA
S1PO34;SPOTIFY TECH;DRN;S1PO34.SA
SGPS3;SPRINGS;ON   NM;SGPS3.SA
SBUB34;STARBUCKS;DRN;SBUB34.SA
S2TO34;STORECAPITAL;DRN;S2TO34.SA
SULA11;SUL AMERICA;UNT  N2;SULA11.SA
SUZB3;SUZANO S.A.;ON   NM;SUZB3.SA
SYNE3;SYN PROP TEC;ON   NM;SYNE3.SA
TAEE11;TAESA;UNT  N2;TAEE11.SA
TSMC34;TAIWANSMFAC;DRN;TSMC34.SA
T1TW34;TAKE-TWO INT;DRN;T1TW34.SA
T1AL34;TAL EDUCATIO;DRN;T1AL34.SA
TGTB34;TARGET CORP;DRN;TGTB34.SA
TASA3;TAURUS ARMAS;ON   N2;TASA3.SA
TASA4;TAURUS ARMAS;PN   N2;TASA4.SA
TRAD3;TC;ON   NM;TRAD3.SA
TECN3;TECHNOS;ON   NM;TECN3.SA
TCSA3;TECNISA;ON   NM;TCSA3.SA
TGMA3;TEGMA;ON   NM;TGMA3.SA
T2DH34;TELADOCHEALT;DRN;T2DH34.SA
VIVT3;TELEF BRASIL;ON;VIVT3.SA
TLNC34;TELEFONIC;DRN;TLNC34.SA
TEND3;TENDA;ON   NM;TEND3.SA
TXSA34;TERNIUMSA;DRN;TXSA34.SA
LAND3;TERRASANTAPA;ON   NM;LAND3.SA
TSLA34;TESLA INC;DRN;TSLA34.SA
TEXA34;TEXAS INC;DRN;TEXA34.SA
TMOS34;THERMFISCHER;DRN;TMOS34.SA
TIMS3;TIM;ON   NM;TIMS3.SA
SHOW3;TIME FOR FUN;ON   NM;SHOW3.SA
TOTS3;TOTVS;ON   NM;TOTS3.SA
TMCO34;TOYOTAMO;DRN;TMCO34.SA
TFCO4;TRACK FIELD;PN   N2;TFCO4.SA
T2TD34;TRADE DESK;DRN;T2TD34.SA
TRPL3;TRAN PAULIST;ON   N1;TRPL3.SA
TRPL4;TRAN PAULIST;PN   N1;TRPL4.SA
RIGG34;TRANSOCEAN;DRN;RIGG34.SA
TRIS3;TRISUL;ON   NM;TRIS3.SA
TPIS3;TRIUNFO PART;ON   NM;TPIS3.SA
TUPY3;TUPY;ON   NM;TUPY3.SA
U1BE34;UBER TECH IN;DRN;U1BE34.SA
UGPA3;ULTRAPAR;ON   NM;UGPA3.SA
UCAS3;UNICASA;ON   NM;UCAS3.SA
FIQE3;UNIFIQUE;ON   NM;FIQE3.SA
ULEV34;UNILEVER;DRN;ULEV34.SA
UNIP6;UNIPAR;PNB;UNIP6.SA
UNHH34;UNITEDHEALTH;DRN;UNHH34.SA
U2ST34;UNITY SOFTWR;DRN;U2ST34.SA
USSX34;US STEEL;DRN;USSX34.SA
USIM3;USIMINAS;ON   N1;USIM3.SA
USIM5;USIMINAS;PNA  N1;USIM5.SA
VALE3;VALE;ON   NM;VALE3.SA
VLID3;VALID;ON   NM;VLID3.SA
VAMO3;VAMOS;ON   NM;VAMO3.SA
VERZ34;VERIZON;DRN;VERZ34.SA
VIIA3;VIA;ON   NM;VIIA3.SA
VBBR3;VIBRA;ON   NM;VBBR3.SA
VISA34;VISA INC;DRN;VISA34.SA
VITT3;VITTIA;ON   NM;VITT3.SA
VIVA3;VIVARA S.A.;ON   NM;VIVA3.SA
VVEO3;VIVEO;ON   NM;VVEO3.SA
VULC3;VULCABRAS;ON   NM;VULC3.SA
WALM34;WAL MART;DRN;WALM34.SA
DISB34;WALT DISNEY;DRN;DISB34.SA
LVTC3;WDC NETWORKS;ON   NM;LVTC3.SA
WEGE3;WEG;ON   NM;WEGE3.SA
WFCO34;WELLS FARGO;DRN;WFCO34.SA
WEST3;WESTWING;ON   NM;WEST3.SA
PORT3;WILSON SONS;ON   NM;PORT3.SA
WIZS3;WIZ S.A.;ON   NM;WIZS3.SA
YDUQ3;YDUQS PART;ON   NM;YDUQ3.SA
ZAMP3;ZAMP S.A.;ON   NM;ZAMP3.SA
Z1OM34;ZOOM VIDEO;DRN;Z1OM34.SA
LLIS3;;;LLIS3.SA
